,m1,m2,m3,width_plus_height
goose86,0.04397705544933078,50.263862332695986,-1.0556999999522532e-05,7056
goose92,0.07839388145315487,66.08604206500956,0.0002636370000006494,7056
goose79,0.03182256509161042,59.350048216007714,-1.688700000013199e-05,7056
goose45,0.044444444444444446,85.66183574879227,-4.0310000013477065e-06,7056
goose51,0.04918032786885246,69.64609450337512,0.0010823440000002904,7056
goose8,0.024154589371980676,70.88212560386474,-8.150299999876154e-05,7056
goose50,0.15265700483091788,56.4975845410628,-9.719500000038295e-05,7056
goose9,0.03527168732125834,61.255481410867496,-8.59220000037908e-05,7056
goose44,0.044804575786463297,62.139180171591995,-2.777599999603808e-05,7056
goose78,0.027645376549094377,64.85033365109628,0.0010935420000031115,7056
goose93,0.03908484270734033,61.00095328884652,-0.00010735700000097381,7056
goose87,0.09177820267686425,61.96558317399617,5.18669999998167e-05,7056
goose91,0.040152963671128104,49.92160611854685,0.0011221829999996658,7056
goose85,0.027645376549094377,63.96377502383222,-6.557299999698785e-05,7056
goose52,0.02676864244741874,58.68451242829828,2.851700000405799e-05,7056
goose46,0.06959008579599618,80.87511916110581,-0.0004608420000096203,7056
goose47,0.07246376811594203,90.33429951690822,2.272899999411493e-05,7056
goose53,0.024108003857280617,71.2082931533269,8.721799999733548e-05,7056
goose84,0.04780114722753346,52.07839388145315,0.00968548400000202,7056
goose90,0.0745697896749522,48.82409177820268,5.53520000039498e-05,7056
goose94,0.04397705544933078,54.07839388145315,-0.0013512640000001852,7056
goose80,0.057197330791229746,57.244041944709245,-0.00019762700000569566,7056
goose57,0.15678776290630975,63.07839388145315,9.301400000083504e-05,7056
goose43,0.048216007714561235,72.44551591128254,-0.00014134899999618256,7056
goose42,0.0497131931166348,73.87954110898661,9.744800000532905e-05,7056
goose56,0.037608486017357765,59.69527483124397,-4.637099999627026e-05,7056
goose81,0.02608695652173913,70.97101449275362,1.2466999997684525e-05,7056
goose95,0.030592734225621414,72.93116634799235,-0.0012547720000029017,7056
goose83,0.04003813155386082,70.40514775977121,8.625899999259445e-05,7056
goose97,0.055449330783938815,68.74952198852772,0.00025091799999188424,7056
goose40,0.0497131931166348,54.98661567877629,-1.2014999995813014e-05,7056
goose54,0.02676864244741874,73.05162523900573,-0.04124213500000451,7056
goose68,0.05927342256214149,60.37284894837476,0.00021362100000033024,7056
goose69,0.03671497584541063,61.76231884057971,0.0013231860000075812,7056
goose55,0.04243008678881389,58.165863066538094,-3.891500000463566e-05,7056
goose41,0.032411820781696854,59.26215443279314,0.003508082000010404,7056
goose96,0.04780114722753346,63.525812619502865,-8.676800000273488e-05,7056
goose82,0.03567984570877531,62.165863066538094,-9.257000002094173e-06,7056
goose115,0.032504780114722756,51.30210325047801,3.525500000023385e-05,7056
goose101,0.037178265014299335,71.62821734985701,-0.00011446700000306009,7056
goose26,0.019120458891013385,66.99235181644359,-3.852999999764961e-05,7056
goose32,0.03567984570877531,71.95371263259402,0.0005834060000040608,7056
goose33,0.040152963671128104,66.7151051625239,-0.001525577000009548,7056
goose27,0.017208413001912046,83.7055449330784,-0.0001418630000102894,7056
goose100,0.03188405797101449,60.768115942028984,-2.7222999989362506e-05,7056
goose114,0.030592734225621414,53.50095602294455,-2.045000002226516e-06,7056
goose102,0.027645376549094377,68.0324118207817,-0.00010343300000670297,7056
goose116,0.03278688524590164,71.3953712632594,0.0001428519999819855,7056
goose19,0.07729468599033816,59.14782608695652,-6.903799999236071e-05,7056
goose31,0.03336510962821735,70.58531935176359,5.266000002279725e-06,7056
goose25,0.04397705544933078,71.62906309751435,1.5228999998839754e-05,7056
goose24,0.019065776930409915,78.1534795042898,0.00044310200000552413,7056
goose30,0.07648183556405354,79.66730401529637,-0.0002840100000014445,7056
goose18,0.019286403085824494,63.08293153326905,0.00033786899999199704,7056
goose117,0.06118546845124283,66.94837476099427,-6.784400000015012e-05,7056
goose103,0.124282982791587,60.2772466539197,-1.624199998673248e-05,7056
goose107,0.02892960462873674,61.96914175506268,0.00012668200000121033,7056
goose113,0.040152963671128104,49.021032504780116,0.000170316000009052,7056
goose34,0.011571841851494697,74.89681774349084,0.0004479620000097384,7056
goose20,0.12173913043478261,55.558454106280195,-0.00010104800000476644,7056
goose21,0.04194470924690181,58.872259294566256,-0.0001265650000163987,7056
goose35,0.0248565965583174,71.70363288718929,6.982700000435216e-05,7056
goose112,0.030917874396135265,65.22028985507247,-0.0012630720000004203,7056
goose106,0.03622497616777884,72.65014299332698,-4.0935000015451806e-05,7056
goose110,0.02700096432015429,76.4840887174542,-6.160000225463591e-07,7056
goose104,0.04725168756027001,64.12921890067503,-0.0003866560000176378,7056
goose23,0.036328871892925434,71.06883365200765,0.0005326989999900889,7056
goose37,0.020972354623450904,63.583412774070545,-0.00205903299999477,7056
goose36,0.040152963671128104,69.30210325047801,-0.0002897800000312145,7056
goose22,0.11058150619637751,50.688274547187795,0.00061607399999275,7056
goose105,0.04206500956022945,51.541108986615676,0.00014797200000771227,7056
goose111,0.030505243088655862,63.358436606291704,-0.001096023000002333,7056
goose120,0.05162523900573614,61.977055449330784,-0.0007182710000108727,7056
goose108,0.03908484270734033,62.60724499523356,-0.0002330879999874469,7056
goose13,0.0877025738798856,51.974261201143946,0.0001464009999949667,7056
goose12,0.30592734225621415,64.54493307839388,-0.00040897600001699175,7056
goose109,0.026036644165863067,61.946962391513985,0.000150484999977607,7056
goose121,0.042897998093422304,63.528122020972354,-0.001672009000003527,7056
goose123,0.041465766634522665,58.45612343297975,-4.6235999974442166e-05,7056
goose38,0.0248565965583174,53.73040152963671,-0.00039072699999564975,7056
goose10,0.04206500956022945,53.84321223709369,0.002551600000003873,7056
goose11,0.10295519542421354,53.35938989513823,0.00044291599999723985,7056
goose39,0.03857280617164899,61.556412729026036,-0.00045772100000363025,7056
goose122,0.025738798856053385,66.14775977121067,-0.00041519700002368154,7056
goose15,0.04780114722753346,53.90630975143404,8.213200001705445e-05,7056
goose29,0.02676864244741874,63.85086042065009,-0.00016723100000604063,7056
goose28,0.017357762777242044,79.29026036644166,1.2728000029937903e-05,7056
goose14,0.11884057971014493,54.65217391304348,-0.0008353019999844946,7056
goose119,0.05014464802314368,61.192864030858246,0.0008012000000121589,7056
goose125,0.1089866156787763,65.69789674952199,8.117900000570444e-05,7056
goose16,0.07074569789674952,56.04780114722753,-0.0015188430000137032,7056
goose17,0.04243008678881389,55.12729026036644,-0.0012755039999774453,7056
goose124,0.04206500956022945,71.67495219885278,-0.0001130260000081762,7056
goose118,0.04057971014492753,63.97391304347826,0.0037011969999980465,7056
goose1,0.05353728489483748,49.65965583173996,0.0002789069999948879,7056
goose58,0.04541062801932367,63.620289855072464,6.441000002155306e-05,7056
goose64,0.03824091778202677,55.60038240917782,0.00039072300000952964,7056
goose70,0.08579599618684461,56.1115347950429,0.0003254019999872071,7056
goose71,0.051207729468599035,60.96231884057971,0.004574636999961967,7056
goose65,0.036328871892925434,58.32313575525813,0.0001172149999888461,7056
goose59,0.03527168732125834,61.040038131553864,-0.0034021039999743152,7056
goose98,0.025738798856053385,60.49475691134414,-0.0007489580000026308,7056
goose2,0.0248565965583174,52.81070745697897,0.00011739300001067932,7056
goose73,0.03085824493731919,60.233365477338474,0.0001692220000109046,7056
goose67,0.037608486017357765,62.35872709739633,-0.0012298709999924995,7056
goose66,0.032504780114722756,50.749521988527725,0.0001673950000053992,7056
goose72,0.04206500956022945,53.22179732313575,3.89899997799148e-06,7056
goose3,0.06943105110896818,69.2526518804243,0.00011937599998645965,7056
goose99,0.040152963671128104,61.59847036328872,0.0005689729999858173,7056
goose89,0.032504780114722756,53.636711281070745,0.00032240299998420596,7056
goose76,0.023832221163012392,58.617731172545284,0.001127547000010054,7056
goose62,0.08196721311475409,52.372227579556416,-4.679900001747228e-05,7056
goose7,0.0248565965583174,61.2791586998088,0.0003818169999760812,7056
goose6,0.015458937198067632,79.3768115942029,-0.0011884900000040943,7056
goose63,0.0886558627264061,52.780743565300284,-1.3294000012820106e-05,7056
goose77,0.07328833172613308,72.09450337512054,0.0005350979999718675,7056
goose88,0.05433746425166826,54.98188751191611,-0.0061222280000095,7056
goose61,0.05110896817743491,61.59112825458052,9.818600005928602e-05,7056
goose75,0.019286403085824494,61.00289296046287,-0.00017093999997541687,7056
goose4,0.03145853193517636,60.97140133460439,-0.00043026799994549947,7056
goose49,0.043478260869565216,64.15265700483091,0.00028589699996928175,7056
goose48,0.017159199237368923,7.676835081029552,-0.00011160799999743176,7056
goose5,0.04541062801932367,62.966183574879224,0.00014221099996802877,7056
goose74,0.0497131931166348,75.2810707456979,-0.00010170399997377899,7056
goose60,0.051207729468599035,63.126570048309176,-3.3562000055553654e-05,7056
